freq,unit,geo\TIME_PERIOD	2016 
A,PPS_HAB,FR10	51700 p
A,PPS_HAB,FRB0	25100 p
A,PPS_HAB,FRC1	24800 p
A,PPS_HAB,FRC2	23000 p
A,PPS_HAB,FRD1	24200 p
A,PPS_HAB,FRD2	26300 p
A,PPS_HAB,FRE1	24700 p
A,PPS_HAB,FRE2	22600 p
A,PPS_HAB,FRF1	28100 p
A,PPS_HAB,FRF2	25400 p
A,PPS_HAB,FRF3	22600 p
A,PPS_HAB,FRG0	27400 p
A,PPS_HAB,FRH0	25800 p
A,PPS_HAB,FRI1	26600 p
A,PPS_HAB,FRI2	23300 p
A,PPS_HAB,FRI3	24500 p
A,PPS_HAB,FRJ1	22700 p
A,PPS_HAB,FRJ2	28200 p
A,PPS_HAB,FRK1	24000 p
A,PPS_HAB,FRK2	30500 p
A,PPS_HAB,FRL0	28300 p
A,PPS_HAB,FRM0	24800 p
